time,idx,has_sync_sequence,has_frame,has_packet
1769932581.048822,449431,True,True,True
1769932581.051245,456022,True,True,True
1769932581.0532544,462180,True,True,True
1769932581.0550857,468093,True,True,True
1769932581.0569603,474015,True,True,True
1769932581.0588017,479033,True,True,True
1769932581.0606768,483622,True,True,True
1769932581.0624526,488110,True,True,True
1769932581.0642095,492598,True,True,True
1769932581.0659735,497239,True,True,True
1769932581.0677297,501727,True,True,True
1769932581.0694535,506215,True,True,True
1769932581.0711539,510703,True,True,True
1769932581.0728683,515191,True,True,True
1769932581.074567,519679,True,True,True
1769932581.0763066,524167,True,True,True
1769932581.0779927,528655,True,True,True
1769932581.0797029,533143,True,True,True
1769932581.0814064,537631,True,True,True
1769932581.083169,542119,True,True,True
