real,imag
165.0,-382.0
19.0,1.0
-125.0,393.0
-229.0,678.0
-272.0,798.0
-259.0,779.0
-223.0,693.0
-191.0,612.0
-176.0,573.0
-173.0,567.0
-174.0,580.0
-185.0,622.0
-207.0,691.0
-224.0,767.0
-216.0,790.0
-179.0,679.0
-101.0,401.0
11.0,7.0
125.0,-399.0
203.0,-690.0
231.0,-806.0
220.0,-778.0
196.0,-693.0
176.0,-622.0
162.0,-584.0
153.0,-564.0
151.0,-559.0
161.0,-594.0
183.0,-688.0
211.0,-803.0
217.0,-843.0
180.0,-705.0
98.0,-357.0
-6.0,113.0
-97.0,531.0
-135.0,718.0
-102.0,590.0
-24.0,205.0
65.0,-279.0
137.0,-696.0
181.0,-934.0
190.0,-972.0
163.0,-843.0
116.0,-604.0
62.0,-301.0
11.0,23.0
-35.0,335.0
-72.0,612.0
-102.0,829.0
-115.0,953.0
-104.0,931.0
-72.0,719.0
-21.0,317.0
37.0,-189.0
80.0,-619.0
86.0,-771.0
59.0,-535.0
12.0,3.0
-35.0,572.0
-55.0,843.0
-34.0,640.0
13.0,54.0
58.0,-582.0
71.0,-882.0
49.0,-657.0
15.0,-39.0
-11.0,604.0
-17.0,887.0
-5.0,647.0
13.0,35.0
22.0,-580.0
22.0,-844.0
18.0,-624.0
18.0,-58.0
20.0,532.0
26.0,819.0
27.0,668.0
19.0,178.0
2.0,-395.0
-14.0,-793.0
-17.0,-899.0
-13.0,-777.0
-8.0,-603.0
-8.0,-537.0
-16.0,-618.0
-27.0,-755.0
-32.0,-809.0
-30.0,-687.0
-14.0,-395.0
17.0,-17.0
48.0,349.0
75.0,641.0
98.0,839.0
115.0,929.0
114.0,888.0
95.0,683.0
54.0,316.0
-2.0,-141.0
-53.0,-537.0
-76.0,-707.0
-60.0,-567.0
-5.0,-158.0
70.0,349.0
133.0,745.0
160.0,890.0
152.0,795.0
125.0,605.0
106.0,500.0
114.0,574.0
150.0,756.0
176.0,871.0
159.0,752.0
88.0,370.0
-10.0,-135.0
-94.0,-547.0
-131.0,-694.0
-103.0,-536.0
-21.0,-166.0
77.0,268.0
163.0,640.0
221.0,878.0
249.0,961.0
241.0,880.0
185.0,637.0
86.0,259.0
-29.0,-173.0
-124.0,-522.0
-162.0,-656.0
-125.0,-520.0
-27.0,-171.0
100.0,261.0
215.0,632.0
285.0,861.0
306.0,936.0
288.0,864.0
226.0,641.0
107.0,268.0
-51.0,-193.0
-192.0,-587.0
-242.0,-721.0
-161.0,-493.0
20.0,4.0
212.0,510.0
306.0,738.0
238.0,555.0
45.0,65.0
-166.0,-454.0
-278.0,-718.0
-237.0,-609.0
-72.0,-212.0
130.0,267.0
296.0,641.0
388.0,831.0
405.0,856.0
366.0,760.0
281.0,562.0
146.0,271.0
-19.0,-82.0
-178.0,-412.0
-277.0,-613.0
-279.0,-615.0
-193.0,-432.0
-65.0,-166.0
42.0,52.0
91.0,138.0
78.0,103.0
28.0,16.0
-12.0,-50.0
-19.0,-62.0
-1.0,-33.0
19.0,0.0
27.0,9.0
22.0,0.0
13.0,-12.0
11.0,-14.0
16.0,-7.0
20.0,1.0
20.0,1.0
17.0,-4.0
13.0,-10.0
10.0,-12.0
12.0,-8.0
16.0,-3.0
16.0,-3.0
13.0,-9.0
12.0,-12.0
14.0,-10.0
17.0,-5.0
18.0,-2.0
14.0,-7.0
11.0,-14.0
11.0,-17.0
17.0,-13.0
23.0,0.0
31.0,11.0
28.0,7.0
6.0,-21.0
-22.0,-54.0
-31.0,-64.0
5.0,-22.0
91.0,80.0
212.0,225.0
333.0,374.0
428.0,485.0
477.0,534.0
480.0,521.0
454.0,472.0
422.0,430.0
413.0,419.0
432.0,437.0
461.0,464.0
470.0,476.0
451.0,456.0
420.0,416.0
403.0,393.0
425.0,415.0
484.0,467.0
543.0,522.0
546.0,528.0
462.0,444.0
285.0,264.0
43.0,22.0
-219.0,-230.0
-448.0,-445.0
-600.0,-586.0
-650.0,-630.0
-593.0,-570.0
-444.0,-420.0
-228.0,-216.0
18.0,3.0
258.0,207.0
463.0,378.0
623.0,499.0
716.0,568.0
705.0,562.0
552.0,440.0
247.0,190.0
-140.0,-132.0
-468.0,-397.0
-578.0,-480.0
-389.0,-327.0
21.0,-5.0
442.0,318.0
639.0,463.0
490.0,346.0
70.0,32.0
-386.0,-305.0
-624.0,-478.0
-519.0,-402.0
-145.0,-127.0
301.0,196.0
624.0,422.0
732.0,497.0
672.0,447.0
556.0,360.0
480.0,304.0
478.0,294.0
517.0,314.0
553.0,337.0
565.0,341.0
552.0,329.0
532.0,312.0
528.0,304.0
546.0,305.0
571.0,308.0
584.0,310.0
578.0,305.0
563.0,291.0
549.0,280.0
553.0,280.0
576.0,289.0
595.0,296.0
585.0,287.0
546.0,262.0
511.0,241.0
526.0,242.0
607.0,276.0
720.0,327.0
773.0,348.0
659.0,292.0
341.0,140.0
-102.0,-68.0
-494.0,-250.0
-655.0,-320.0
-506.0,-251.0
-115.0,-74.0
341.0,128.0
678.0,271.0
801.0,321.0
754.0,295.0
649.0,242.0
571.0,203.0
539.0,189.0
533.0,188.0
542.0,188.0
572.0,196.0
648.0,224.0
751.0,257.0
796.0,264.0
677.0,218.0
355.0,104.0
-95.0,-49.0
-499.0,-183.0
-674.0,-239.0
-544.0,-194.0
-173.0,-74.0
283.0,67.0
664.0,183.0
882.0,244.0
920.0,247.0
813.0,211.0
604.0,150.0
316.0,68.0
-23.0,-24.0
-359.0,-111.0
-625.0,-175.0
-771.0,-207.0
-779.0,-204.0
-693.0,-182.0
-586.0,-156.0
-535.0,-138.0
-561.0,-138.0
-625.0,-150.0
-675.0,-160.0
-675.0,-156.0
-622.0,-141.0
-565.0,-125.0
-565.0,-122.0
-651.0,-136.0
-786.0,-158.0
-857.0,-169.0
-737.0,-144.0
-367.0,-79.0
162.0,9.0
632.0,85.0
797.0,107.0
543.0,64.0
-13.0,-16.0
-567.0,-93.0
-808.0,-121.0
-597.0,-90.0
-61.0,-21.0
496.0,47.0
779.0,73.0
660.0,52.0
221.0,5.0
-315.0,-46.0
-733.0,-86.0
-934.0,-102.0
-941.0,-96.0
-827.0,-80.0
-627.0,-59.0
-339.0,-36.0
24.0,-11.0
400.0,9.0
694.0,19.0
823.0,19.0
786.0,12.0
667.0,3.0
582.0,-3.0
606.0,-7.0
715.0,-5.0
799.0,-7.0
730.0,-9.0
449.0,-11.0
17.0,-14.0
-425.0,-16.0
-732.0,-17.0
-829.0,-12.0
-757.0,-1.0
-635.0,7.0
-578.0,8.0
-633.0,10.0
-753.0,16.0
-822.0,23.0
-726.0,22.0
-428.0,6.0
